,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
938,100,78346,62801,65156,77306,39521
939,100,47120,44734,44871,46833,28119
940,100,77250,57273,44225,76629,26811
941,100,90888,66543,57377,90176,36596
942,100,181519,147038,118753,180212,70552
943,100,156538,123899,100734,155591,63151
944,100,117098,86129,78149,116340,51327
945,100,58005,50660,30760,57636,17754
946,100,63309,48553,45086,62812,28520
947,100,64863,49600,47855,64602,31793
948,100,76187,58079,56976,75293,37939
949,100,12973,10823,10778,12737,6991
950,100,32356,24096,23550,31974,16205
951,100,23023,22178,22310,23062,12678
952,100,44531,41330,40438,44319,24251
953,100,134563,129618,130886,133699,77075
954,100,184445,177334,178564,183645,104883
955,100,115986,111742,112675,115700,66369
956,100,55590,54227,54359,55447,33892
957,100,19113,18479,18554,18929,11285
958,100,161057,139128,139136,158235,80027
959,100,74990,65155,66005,74158,38928
960,100,40354,36517,36778,39998,21718
961,100,22580,21288,21448,22396,12848
962,100,20898,18830,18970,20827,11538
963,151,18787,15277,15501,17137,12643
964,151,23541,19309,19781,21203,15390
965,151,12085,10437,10518,11112,8219
966,151,19845,17401,17528,18456,13423
967,151,21004,17277,17557,18829,13331
968,151,16619,13572,13714,14845,10358
969,151,16845,14113,14221,15210,10579
970,90,35150,24450,24486,34931,17238
971,90,52580,32062,37101,51797,31536
972,90,118074,106393,106952,115137,71893
973,90,27604,21859,22145,26076,16426
974,90,36729,34112,34508,36421,22666
975,90,26130,19410,19589,24382,15491
976,90,34735,30273,32636,34411,22031
977,90,36171,27167,27195,35756,19955
978,90,24799,13436,13743,24711,18134
979,90,24457,11446,11451,22231,8634
980,90,15944,15722,15734,15878,12721
981,90,26645,23884,23906,24966,19646
982,90,47440,39895,46193,47176,38031
983,90,28981,24412,28319,28784,23509
984,90,26372,21863,25408,25926,20822
985,90,49861,44223,45051,48762,28363
986,90,39325,26867,29138,38435,22266
987,90,33153,22816,24439,32315,16826
988,90,42556,31272,31847,41750,23351
989,90,97819,79156,81619,95033,47487
990,90,209808,180789,185391,206816,99530
991,90,136040,102402,106740,129144,61960
992,90,59223,19597,19978,57132,14264
993,90,77709,18346,23823,73253,14557
994,90,86814,37708,42694,82963,27913
995,90,78375,38995,40426,76747,25097
996,90,52566,42593,43823,51627,31013
997,90,59148,44915,49460,58160,34066
998,90,19388,12899,13277,19082,9681
999,90,61412,21679,26365,60428,16956
1000,90,54275,16232,23064,51306,11711
1001,90,158421,116308,117535,154106,77829
1002,90,308124,250278,256244,305292,151819
1003,90,122762,106183,108073,119638,75468
1004,90,78245,47179,49718,74145,33348
1005,90,90986,79890,80481,87873,53600
1006,90,171678,139695,143909,166309,98942
1007,90,116941,90114,91901,110413,64211
1008,90,151177,93872,97248,139301,56138
1009,90,175103,131584,134733,155137,97718
1010,90,161954,104305,109200,155002,73495
1011,90,100745,59892,62122,97713,43926
